chain,address,arkm_url,label
bitcoin,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,https://intel.arkm.com/bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,Hot Wallet
bitcoin,bc1qgzrva028eym96uax90j28qj3aqhh3dy8gk6qvp,https://intel.arkm.com/bc1qgzrva028eym96uax90j28qj3aqhh3dy8gk6qvp,Hot Wallet
ethereum,0x56Eddb7aa87536c09CCc2793473599fD21A8b17F,https://intel.arkm.com/0x56Eddb7aa87536c09CCc2793473599fD21A8b17F,Hot Wallet
ethereum,0x21a31Ee1afC51d94C2eFcCAa2092aD1028285549,https://intel.arkm.com/0x21a31Ee1afC51d94C2eFcCAa2092aD1028285549,Hot Wallet
ethereum,0x4976A4A02f38326660D17bf34b431dC6e2eb2327,https://intel.arkm.com/0x4976A4A02f38326660D17bf34b431dC6e2eb2327,Hot Wallet
ethereum,0xDFd5293D8e347dFe59E90eFd55b2956a1343963d,https://intel.arkm.com/0xDFd5293D8e347dFe59E90eFd55b2956a1343963d,Hot Wallet
ethereum,0x9696f59E4d72E237BE84fFD425DCaD154Bf96976,https://intel.arkm.com/0x9696f59E4d72E237BE84fFD425DCaD154Bf96976,Hot Wallet
ethereum,0x28C6c06298d514Db089934071355E5743bf21d60,https://intel.arkm.com/0x28C6c06298d514Db089934071355E5743bf21d60,Hot Wallet
solana,A8eWEe4rTiMbkLDUT3PfSqEEe713vB2Uwnfp8P298aJW,https://intel.arkm.com/A8eWEe4rTiMbkLDUT3PfSqEEe713vB2Uwnfp8P298aJW,Hot Wallet
solana,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,https://intel.arkm.com/5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,Hot Wallet
solana,6xAckK4UWmaX4CKu27oPzHLxMKzaDMj73WA9xKpqSFQ1,https://intel.arkm.com/6xAckK4UWmaX4CKu27oPzHLxMKzaDMj73WA9xKpqSFQ1,Hot Wallet
solana,CyBjGpte4Npi5zNkdtWumPxVW4kpMR8BuFSbA587xZES,https://intel.arkm.com/CyBjGpte4Npi5zNkdtWumPxVW4kpMR8BuFSbA587xZES,Hot Wallet
solana,FzbcyEZ9m8xjtergWgWDq7mfPoHEbboBF791B6cTpzbq,https://intel.arkm.com/FzbcyEZ9m8xjtergWgWDq7mfPoHEbboBF791B6cTpzbq,Hot Wallet
solana,CVwBQD4C1ySuwnfbnq3pGcmgC3cb1RYt25U8XpsVEpyF,https://intel.arkm.com/CVwBQD4C1ySuwnfbnq3pGcmgC3cb1RYt25U8XpsVEpyF,Hot Wallet
solana,FxGuNeAS15E9L43saNKtFMiSvuiJraNLZjS2DfpLtw25,https://intel.arkm.com/FxGuNeAS15E9L43saNKtFMiSvuiJraNLZjS2DfpLtw25,Hot Wallet
solana,Hu4WV8KgxvHaGv7XKcZ94ktqxnzQDgtFVXtmYbi4Af1t,https://intel.arkm.com/Hu4WV8KgxvHaGv7XKcZ94ktqxnzQDgtFVXtmYbi4Af1t,Hot Wallet
solana,45xJxTULWEBTRcpQDMGZNHUvpzXv5An8fZZ2SjCEqntW,https://intel.arkm.com/45xJxTULWEBTRcpQDMGZNHUvpzXv5An8fZZ2SjCEqntW,Hot Wallet
tron,TDqSquXBgUCLYvYC4XZgrprLK589dkhSCf,https://intel.arkm.com/TDqSquXBgUCLYvYC4XZgrprLK589dkhSCf,Hot Wallet
tron,TJ5usJLLwjwn7Pw3TPbdzreG7dvgKzfQ5y,https://intel.arkm.com/TJ5usJLLwjwn7Pw3TPbdzreG7dvgKzfQ5y,Hot Wallet
tron,TCLgK89AnXbC9rewvhNb9UgXCc2qJJpBXh,https://intel.arkm.com/TCLgK89AnXbC9rewvhNb9UgXCc2qJJpBXh,Hot Wallet
tron,TK4ykR48cQQoyFcZ5N4xZCbsBaHcg6n3gJ,https://intel.arkm.com/TK4ykR48cQQoyFcZ5N4xZCbsBaHcg6n3gJ,Hot Wallet
tron,TJqwA7SoZnERE4zW5uDEiPkbz4B66h9TFj,https://intel.arkm.com/TJqwA7SoZnERE4zW5uDEiPkbz4B66h9TFj,Hot Wallet
bsc,0x161bA15A5f335c9f06BB5BbB0A9cE14076FBb645,https://intel.arkm.com/0x161bA15A5f335c9f06BB5BbB0A9cE14076FBb645,Hot Wallet
bsc,0x515b72Ed8a97F42C568D6A143232775018f133C8,https://intel.arkm.com/0x515b72Ed8a97F42C568D6A143232775018f133C8,Hot Wallet
bsc,0xBD612a3f30dcA67bF60a39Fd0D35e39B7aB80774,https://intel.arkm.com/0xBD612a3f30dcA67bF60a39Fd0D35e39B7aB80774,Hot Wallet
bsc,0x8894E0a0c962CB723c1976a4421c95949bE2D4E3,https://intel.arkm.com/0x8894E0a0c962CB723c1976a4421c95949bE2D4E3,Hot Wallet
arbitrum_one,0xB38e8c17e38363aF6EbdCb3dAE12e0243582891D,https://intel.arkm.com/0xB38e8c17e38363aF6EbdCb3dAE12e0243582891D,Hot Wallet
arbitrum_one,0x3931dAb967C3E2dbb492FE12460a66d0fe4cC857,https://intel.arkm.com/0x3931dAb967C3E2dbb492FE12460a66d0fe4cC857,Hot Wallet
arbitrum_one,0xf92402bB795Fd7CD08fb83839689DB79099C8c9C,https://intel.arkm.com/0xf92402bB795Fd7CD08fb83839689DB79099C8c9C,Hot Wallet
arbitrum_one,0x1B5B4e441F5A22bfd91B7772C780463F66A74b35,https://intel.arkm.com/0x1B5B4e441F5A22bfd91B7772C780463F66A74b35,Hot Wallet
arbitrum_one,0x25681Ab599B4E2CEea31F8B498052c53FC2D74db,https://intel.arkm.com/0x25681Ab599B4E2CEea31F8B498052c53FC2D74db,Hot Wallet
ton,0:CA1D9EDEEF40B3A9DBD9082F3767859547C3CE0BF641D09D58E33A3CF06FB309,https://intel.arkm.com/0:CA1D9EDEEF40B3A9DBD9082F3767859547C3CE0BF641D09D58E33A3CF06FB309,Hot Wallet
polygon,0x290275e3db66394C52272398959845170E4DCb88,https://intel.arkm.com/0x290275e3db66394C52272398959845170E4DCb88,Hot Wallet
polygon,0x505e71695E9bc45943c58adEC1650577BcA68fD9,https://intel.arkm.com/0x505e71695E9bc45943c58adEC1650577BcA68fD9,Hot Wallet
polygon,0xe7804c37c13166fF0b37F5aE0BB07A3aEbb6e245,https://intel.arkm.com/0xe7804c37c13166fF0b37F5aE0BB07A3aEbb6e245,Hot Wallet
polygon,0x082489A616aB4D46d1947eE3F912e080815b08DA,https://intel.arkm.com/0x082489A616aB4D46d1947eE3F912e080815b08DA,Hot Wallet
dogecoin,DJfU2p6woQ9GiBdiXsWZWJnJ9uDdZfSSNC,https://intel.arkm.com/DJfU2p6woQ9GiBdiXsWZWJnJ9uDdZfSSNC,Hot Wallet
base,0x3304E22DDaa22bCdC5fCa2269b418046aE7b566A,https://intel.arkm.com/0x3304E22DDaa22bCdC5fCa2269b418046aE7b566A,Hot Wallet
sonic,0xA4E471dbfe8C95d4c44f520b19CEe436c01c3267,https://intel.arkm.com/0xA4E471dbfe8C95d4c44f520b19CEe436c01c3267,Hot Wallet
optimism,0xacD03D601e5bB1B275Bb94076fF46ED9D753435A,https://intel.arkm.com/0xacD03D601e5bB1B275Bb94076fF46ED9D753435A,Hot Wallet
mantle,0x141FeF8cd8397a390AFe94846c8bD6F4ab981c48,https://intel.arkm.com/0x141FeF8cd8397a390AFe94846c8bD6F4ab981c48,Hot Wallet
avalanche,0xCddc5d0Ebeb71a08ffF26909AA6c0d4e256b4fE1,https://intel.arkm.com/0xCddc5d0Ebeb71a08ffF26909AA6c0d4e256b4fE1,Hot Wallet
avalanche,0x3BCE63C6C9ABf7A47f52c9A3a7950867700B0158,https://intel.arkm.com/0x3BCE63C6C9ABf7A47f52c9A3a7950867700B0158,Hot Wallet
avalanche,0xABa2D404C5C41da5964453A368aFF2604Ae80A14,https://intel.arkm.com/0xABa2D404C5C41da5964453A368aFF2604Ae80A14,Hot Wallet
avalanche,0x978B21a854dbEFcD6d51DFd269875d158046240b,https://intel.arkm.com/0x978B21a854dbEFcD6d51DFd269875d158046240b,Hot Wallet
avalanche,0x9f8c163cBA728e99993ABe7495F06c0A3c8Ac8b9,https://intel.arkm.com/0x9f8c163cBA728e99993ABe7495F06c0A3c8Ac8b9,Hot Wallet
avalanche,0x6D8bE5cdf0d7DEE1f04E25FD70B001AE3B907824,https://intel.arkm.com/0x6D8bE5cdf0d7DEE1f04E25FD70B001AE3B907824,Hot Wallet
linea,0x141FeF8cd8397a390AFe94846c8bD6F4ab981c48,https://intel.arkm.com/0x141FeF8cd8397a390AFe94846c8bD6F4ab981c48,Hot Wallet
blast,0x141FeF8cd8397a390AFe94846c8bD6F4ab981c48,https://intel.arkm.com/0x141FeF8cd8397a390AFe94846c8bD6F4ab981c48,Hot Wallet
manta,0x3CDfB47b0E910d9190eD788726cD72489bf10499,https://intel.arkm.com/0x3CDfB47b0E910d9190eD788726cD72489bf10499,Hot Wallet
